s_id,lastname,firstname,birthyear,sex,nationality,last_club,pb,results
4295910,VAN DEN BROECK,Jeroen,1995,M,BEL,Zwemclub Brabo Antwerpen,52.11,t
4073171,SURGELOOSE,Glenn,1989,M,BEL,Zwemclub Brabo Antwerpen,47.21,t
4804871,VANLUCHENE,Emmanuel,1992,M,BEL,Gold Swimming Team,47.21,t
4796629,DE MEULEMEESTER,Sebastien,1998,M,BEL,Zwemclub Brabo Antwerpen,47.51,t
4804458,DEKONINCK,Dieter,1991,M,BEL,Zwemclub Brabo Antwerpen,47.91,t
4340386,THIJS,Thomas,1997,M,BEL,Zwemclub Geel,47.96,t
4074838,SYSTERMANS,Pholien,1990,M,BEL,Liege Mosan,48.01,t
4039027,GRANDJEAN,Yoris,1989,M,BEL,Liege Natation,48.03,t
4074831,HEERSBRANDT,Francois,1989,M,BEL,Cercle De Natation Sportcity W,48.08,t
4074507,CROENEN,Louis,1994,M,BEL,Shark,48.27,t
4367906,MARCOURT,Alexandre,1999,M,BEL,Tiense Regio United Swimming Team,48.33,t
4741068,EMO,Jerome,2000,M,BEL,Herstal Natation,48.44,t
4804382,POELS,Corentin,1987,M,BEL,Cercle De Natation Sportcity W,48.48,t
4405999,HENVEAUX,Lucas,2000,M,BEL,Liege Natation,48.65,t
4307831,VANGOETSENHOVEN,Dries,1997,M,BEL,Zwemclub Brabo Antwerpen,48.80,t
4295864,DEOLET,Timothy,1995,M,BEL,Meetjesland-Gent Alliantie Zwemteam,49.04,t
5314511,VERSCHOOTEN,Leo,2006,M,BEL,Belgium,49.04,t
4394937,BORISAVLJEVIC,Alexis,1997,M,BEL,Leuven Aquatics,49.06,t
4754026,DE SMEDT,Jesse,2000,M,BEL,Zwemclub Brabo Antwerpen,49.07,t
4921109,FRANCKX,Stan,2002,M,BEL,Tiense Regio United Swimming Team,49.12,t
4047263,WOUTERS,Thierry,1979,M,BEL,Belgium,49.14,t
4255114,WEIREMANS,Lorenz,1996,M,BEL,Zwemclub Brabo Antwerpen,49.19,t
4805380,DEPYPERE,Stijn,1991,M,BEL,Zwemclub Brabo Antwerpen,49.20,t
4062175,ROMANINI,Pierre-Yves,1985,M,BEL,Liege Natation,49.28,t
4305653,GERVAIS,Lucas,1996,M,BEL,Cercle Royal De Natation De Br,49.30,t
4827265,MEEUS,Elias,2003,M,BEL,Zwemclub Brabo Antwerpen,49.40,t
4029092,DREESEN,Renaat,1980,M,BEL,Belgium,49.63,t
4074365,VANDEVELDE,Axel,1991,M,BEL,Meetjesland-Gent Alliantie Zwemteam,49.70,t
4804710,DELVOIE,Cedric,1992,M,BEL,Ecole Seraing Natation,49.72,t
4074868,DE WILDE,Gilles,1990,M,BEL,Meetjesland-Gent Alliantie Zwemteam,49.84,t
4922787,LEROUX,Jef,2002,M,BEL,Meetjesland-Gent Alliantie Zwemteam,49.92,t
4804485,DE GEETER,Matthias,1991,M,BEL,Koninklijke Brugse Zwem- & Red,50.03,t
4299624,HOPCHET,Maxandre,1995,M,BEL,Les Cormorans Farciennois,50.12,t
5210516,VERRETH,Noah,2005,M,BEL,Meetjesland-Gent Alliantie Zwemteam,50.12,t
4439538,HEUNINCK,Maarten,2000,M,BEL,First (Flanders Inter Regio Sw,50.16,t
4804462,HELDERWEIRT,Sander,1991,M,BEL,Meetjesland-Gent Alliantie Zwemteam,50.19,t
4393639,RUELLE,Thibault,2000,M,BEL,Castor Club De Mons,50.19,t
4037319,GORIS,Wim,1984,M,BEL,Zwemclub Brabo Antwerpen,50.20,t
4805220,ANDRIEN,Maxime,1994,M,BEL,Ecole Seraing Natation,50.26,t
4563579,MARTENS,Noah,2000,M,BEL,Zwemclub Brabo Antwerpen,50.26,t
4037423,TIEGHEM,Kristof,1978,M,BEL,Koninklijke Kortrijkse Zwemkri,50.32,t
4394938,BORISAVLJEVIC,Valentin,1997,M,BEL,Leuven Aquatics,50.33,t
4295855,LAFORT,Iarre,1993,M,BEL,First (Flanders Inter Regio Sw,50.45,t
5092538,MABBE,Elian,2004,M,BEL,Ursus Zwemklub Zwevegem,50.45,t
4852852,HEBB,Xander,2003,M,BEL,Royal Ostend Swimming Club,50.52,t
4804893,LECOUTERE,Jeroen,1987,M,BEL,Brabant East Swimming Team,50.54,t
4139943,ZERAIDI,Issam,1992,M,BEL,Cercle Royal De Natation De Br,50.59,t
4074285,CORTENS,Ken,1993,M,BEL,Swimming Team Tienen,50.67,t
4393757,FRIPPIAT,Florian,1998,M,BEL,Natation Club Athus,50.68,t
4309070,TRAP,Alexander,1997,M,BEL,Zwemclub Brabo Antwerpen,50.69,t
4433318,SWILLEN,Timon,2000,M,BEL,Tiense Zwemmers,50.74,t
4691254,SEPYPERE,Stijn,1991,M,BEL,Belgium,50.80,t
4363352,DE GRAEVE,Birgen,1998,M,BEL,Leuven Aquatics,50.80,t
4307855,VANHUYS,Logan,1997,M,BEL,Royal Dauphins Mouscronnois,50.81,t
4426665,BRUSTEN,Arthur,1995,M,BEL,Entente Des Nageurs Louvierois Natation,50.83,t
4429472,CAMERLYNCK,Tim,1998,M,BEL,Gold Swimming Team,50.85,t
5169555,PETRE,Olivier,2006,M,BEL,Entente Des Nageurs Louvierois Natation,50.90,t
5002324,TALLOEN,Sander,2005,M,BEL,First (Flanders Inter Regio Sw,50.92,t
4828076,WYNS,Seppe,2002,M,BEL,Nijlense Zwemclub,50.94,t
4804807,MEIRHAEGHE,Jonas,1991,M,BEL,Brabant East Swimming Team,50.97,t
5167320,VAN HOOYDONCK,Vincent,2007,M,BEL,Zwemclub Brabo Antwerpen,51.01,t
4340382,VAN LOOY,Quinten,1999,M,BEL,Shark,51.02,t
4804636,VAN DER STRAETEN,Egon,1991,M,BEL,Zwemclub Brabo Antwerpen,51.03,t
4428563,SURGELOOSE,Owen,1999,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.04,t
5276804,VAN EGDOM,Wout,2008,M,BEL,Nijlense Zwemclub,51.06,t
5190526,VANSIELEGHEM,Killian,2005,M,BEL,Koninklijke Brugse Zwem- & Red,51.06,t
5017923,MULKENS,Bavo,2004,M,BEL,Tiense Regio United Swimming Team,51.09,t
4827870,VAN ROSSEM,Raf,2000,M,BEL,Zwemclub Brabo Antwerpen,51.14,t
4812901,AUSLOOS,Jens,2003,M,BEL,Koninklijke Aarschotse Zwemclub Schoonhoven,51.16,t
4565947,BIERBERG,Gregory,1998,M,BEL,Royal Verviers Natation,51.18,t
5203206,SPADEA,Tommaso,2008,M,BEL,Leuven Aquatics,51.18,t
4074289,HENDRICKX,Lander,1994,M,BEL,Brabant East Swimming Team,51.20,t
4299632,DEWULF,Gillian,1996,M,BEL,Koninklijke Kortrijkse Zwemkri,51.20,t
4620662,DE WEIRDT,Jan,2000,M,BEL,Swimming Team Aalter,51.23,t
4029543,CUYVERS,Ruud,1984,M,BEL,"Molse Zwemclub ""mozka""",51.24,t
4304903,DAL,Lucas,1999,M,BEL,Royal Dauphins Mouscronnois,51.24,t
4068846,NAVARRE,Charles,1993,M,BEL,Cercle Royal De Natation De Br,51.25,t
4052997,VERACHTEN,Stef,1983,M,BEL,"Molse Zwemclub ""mozka""",51.26,t
4858932,VANHOUCKE,Louka,2002,M,BEL,Belgium,51.26,t
4306238,LEMMENS,Tuur,1997,M,BEL,Koninklijke Hasseltse Zwemvere,51.80,t
4398035,KRUIJTZER,Bram,1997,M,BEL,Zwemclub Brabo Antwerpen,51.80,t
4804654,WIELANDT,Pieter,1993,M,BEL,First (Flanders Inter Regio Sw,51.80,t
4074510,WILLEMS,Mattias,1991,M,BEL,Shark,52.98,t
4929150,VATA,Gjon,2002,M,BEL,Cercle Royal De Natation De Br,51.28,t
4576651,LUYTEN,Sjobbe,1998,M,BEL,"Molse Zwemclub ""mozka""",51.29,t
4393284,ROETE,Jonas,1997,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.36,t
4972461,VAN KEER,Yoran,2003,M,BEL,Leuven Aquatics,51.37,t
4970432,LAUREYSSENS,Daniel,2004,M,BEL,Zwemclub Schoten,51.38,t
4038651,FONTEYN,Mathieu,1985,M,BEL,Koninklijke Brugse Zwem- & Red,51.39,t
4805294,DE BAETS,Thomas,1989,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.41,t
4139755,VANDAMME,Lowie,1994,M,BEL,Koninklijke Brugse Zwem- & Red,51.42,t
5435647,DRUANT,Andreas,2006,M,BEL,Bruinvissen Diksmuide,51.44,t
4805268,POELMANS,Willem,1994,M,BEL,Koninklijke Hasseltse Zwemvere,51.46,t
4307551,VAN DEN BROECK,Matthias,1992,M,BEL,Zwemclub Brabo Antwerpen,51.47,t
4839464,DE SWERDT,Niels,2007,M,BEL,Tiense Regio United Swimming Team,51.48,t
4938131,WEYTS,Milan,2004,M,BEL,Koninklijke Brugse Zwem- & Red,51.50,t
4804815,MATTELAER,Mathieu,1991,M,BEL,Gold Swimming Team,51.51,t
4427953,HOUSEN,Stef,2000,M,BEL,Zwemvereniging De Meerkoet Bre,51.51,t
4439711,VAN REGENMORTEL,Michiel,1994,M,BEL,Shark,51.52,t
4812893,CARCHON,Brecht,2003,M,BEL,Leuven Aquatics,51.53,t
4804391,ROBBE,Michael,1985,M,BEL,Gold Swimming Team,51.57,t
5046657,KALOGEROPOULOS,Zeno,2004,M,BEL,Zwemclub Brabo Antwerpen,51.57,t
4074504,BRYDENBACH,Hans,1987,M,BEL,Shark,51.59,t
4074687,VERPLANKEN,Jesper,1987,M,BEL,Zwemclub Tremelo,51.60,t
4805377,VANDEVELDE,Raf,1993,M,BEL,Swimming Team Tienen,51.62,t
4564607,VANDERSYPEN,Vincent,1999,M,BEL,Zwemclub Brabo Antwerpen,51.62,t
5092546,VAN CLEVEN,Thijs,2005,M,BEL,Koninklijke Brugse Zwem- & Red,51.62,t
4199952,VAN AUDEKERKE,Nils,1996,M,BEL,Temse Schelde Zwemmers,51.65,t
4307374,THIRY,Simon,1998,M,BEL,Ecole Seraing Natation,51.67,t
5343763,MAGREMANNE,Matheo,2008,M,BEL,Waterloo Natation,51.70,t
4029203,CLAEYS,Bruno,1982,M,BEL,Koninklijke Brugse Zwem- & Red,51.71,t
5346003,LAVIOLETTE,Simon,2008,M,BEL,Swimming Club Rixensart,51.73,t
4805082,VAN MECHELEN,Ken,1992,M,BEL,Arendonkse Zwemvereniging,51.74,t
4219612,AERTS-BANCKEN,Guillaume,1996,M,BEL,Liege Atlas Swimming Team,51.77,t
4936597,JANSSENS,Renzo,2002,M,BEL,Zwemclub Brabo Antwerpen,51.77,t
4863325,GRONDEL,Charles,2002,M,BEL,Tiense Regio United Swimming Team,51.77,t
4085511,KURZAK,Jeremy,1990,M,BEL,Mons Hainaut Natation,51.79,t
4805328,BONNEL,Nathan,1993,M,BEL,Braine L'alleud Aqua College,51.82,t
